agents,successful
3,3
4,2
5,5
6,6
7,6
8,8
9,8
10,10
11,11
12,11
13,13
14,14
15,13
16,16
17,17
18,18
19,19
20,19
21,21
22,22
23,23
25,25
26,25
27,26
28,27
