agents,successful
5,3
6,0
7,0
8,0
9,9
10,10
11,11
12,12
13,13
14,13
15,14
16,0
17,17
18,18
19,19
21,19
22,22
23,23
24,23
25,25
26,26
27,27
28,27
29,29
30,30
