agents,successful
2,0
3,0
4,0
5,0
6,0
7,0
8,1
9,0
10,0
11,2
12,2
13,2
14,3
15,1
16,4
17,2
21,8
22,10
23,11
25,13
26,11
27,13
28,16
29,14
30,17
