agents,successful
1,0
2,0
3,0
4,0
5,0
6,0
7,0
8,1
9,1
10,2
11,3
12,3
13,7
14,6
15,7
16,6
17,7
18,8
19,12
20,10
21,11
22,13
23,17
24,15
25,16
26,17
27,19
28,19
29,20
30,22
