agents,successful
5,0
6,0
7,0
8,0
9,1
10,1
11,3
12,2
13,4
14,5
15,8
16,0
17,0
18,0
19,0
20,0
21,0
22,0
23,0
24,0
25,0
26,0
27,0
28,0
29,21
30,24
