agents,successful
3,0
4,0
5,0
6,0
7,0
8,0
9,1
10,1
11,3
12,3
13,8
14,6
15,9
16,13
17,11
18,7
19,13
20,5
21,11
22,14
23,15
24,15
25,14
26,17
27,13
28,20
29,20
30,19
