agents,successful
1.0,0.0
2.0,0.0
3.0,0.0
4.0,0.0
5.0,0.0
6.0,0.0
7.0,0.0
8.0,0.0
9.0,2.0
10.0,1.0
11.0,3.0
12.0,2.0
13.0,6.0
14.0,5.0
15.0,6.0
16.0,7.0
17.0,7.0
18.0,10.0
19.0,10.0
20.0,12.0
21.0,13.0
22.0,14.0
23.0,13.0
24.0,14.0
25.0,16.0
26.0,16.0
27.0,18.0
28.0,19.0
29.0,21.0
30,22
