agents,successful
3,0
4,0
5,0
6,0
7,2
8,0
9,1
10,1
11,2
12,2
13,3
14,5
15,6
16,7
17,10
18,8
19,11
20,12
21,12
22,14
23,13
24,15
25,17
26,18
27,0
28,0
29,22
30,22
